corruption_levels,cross_margin
0.0,"(0.5743843706969125,)"
0.0,"(0.563243844358202,)"
0.0,"(0.5820062300725034,)"
0.0,"(0.6387682717030273,)"
0.0,"(0.6138578174026265,)"
0.0,"(0.6215284450728981,)"
0.0,"(0.6452452961139497,)"
0.0,"(0.5142833095588492,)"
0.0,"(0.6058811597168472,)"
0.0,"(0.621328168087621,)"
0.0,"(0.5315238850688838,)"
0.0,"(0.5788051062034706,)"
0.0,"(0.5530214048734587,)"
0.0,"(0.5192409367772979,)"
0.0,"(0.5488347238985903,)"
0.0,"(0.6490757252712089,)"
0.0,"(0.5700316171986451,)"
0.0,"(0.6306172059053705,)"
0.0,"(0.4494231268238478,)"
0.0,"(0.40196273888741246,)"
0.0,"(0.4269724857931681,)"
0.0,"(0.5973859732835644,)"
0.0,"(0.6276765900307472,)"
0.0,"(0.5005738850092946,)"
0.0,"(0.5283544367516394,)"
0.0,"(0.6338792078630965,)"
0.0,"(0.6018565846045605,)"
0.0,"(0.5702857301082066,)"
0.0,"(0.5663232358874126,)"
0.0,"(0.4664370168021276,)"
0.0,"(0.48965832831095896,)"
0.0,"(0.5337069971418319,)"
0.0,"(0.6198011549098,)"
0.0,"(0.5559081153982844,)"
0.0,"(0.6080388117788467,)"
0.0,"(0.6483922711353964,)"
0.0,"(0.5855496865287969,)"
0.0,"(0.6278382257528033,)"
0.0,"(0.6228667249511971,)"
0.0,"(0.5910934559605666,)"
0.0,"(0.5836973339116028,)"
0.0,"(0.5598238888053102,)"
0.0,"(0.46082480650843083,)"
0.0,"(0.3838351101540703,)"
0.0,"(0.60519042664475,)"
0.0,"(0.33649107197502487,)"
0.0,"(0.5632965144683432,)"
0.0,"(0.5221893817398118,)"
0.0,"(0.6122162364854008,)"
0.0,"(-0.3960965835255691,)"
0.0,"(0.6034737897807066,)"
0.0,"(0.578590151207524,)"
0.0,"(0.5697395093276165,)"
0.0,"(0.6341366098706183,)"
0.0,"(0.5690404384929452,)"
0.0,"(0.5242033744588882,)"
0.0,"(0.5017210645964544,)"
0.0,"(0.4502000281330001,)"
0.0,"(0.5284399135851335,)"
0.0,"(0.5280949746539929,)"
0.0,"(0.5421279171282246,)"
0.0,"(0.5015858115888931,)"
0.0,"(0.601339662702523,)"
0.0,"(0.4199827325554655,)"
0.0,"(0.6143586318974524,)"
0.0,"(0.5869461945456422,)"
0.0,"(0.5632132382591732,)"
0.0,"(0.534393230304007,)"
0.0,"(0.6196759731672907,)"
0.0,"(0.5866770186510908,)"
0.0,"(0.6291683166495301,)"
0.0,"(0.42819893605137366,)"
0.0,"(0.6259565523681487,)"
0.0,"(0.5916610622124446,)"
0.0,"(0.3750443435304293,)"
0.0,"(0.5413895431085635,)"
0.0,"(0.5072059022813147,)"
0.0,"(0.5810963175247392,)"
0.0,"(0.6399822886824736,)"
0.0,"(0.588845423865681,)"
0.0,"(0.5535112669001329,)"
0.0,"(0.6012625937186307,)"
0.0,"(0.6118256581500204,)"
0.0,"(0.30904033272505355,)"
0.0,"(0.4020374107418303,)"
0.0,"(0.5469345355535826,)"
0.0,"(0.6232553064898547,)"
0.0,"(0.5690677717692754,)"
0.0,"(0.5905883423174624,)"
0.0,"(0.630982004968308,)"
0.0,"(0.573597622937937,)"
0.0,"(0.42319528525151434,)"
0.0,"(0.5577277262453538,)"
0.0,"(0.5336564499640954,)"
0.0,"(0.633494776608189,)"
0.0,"(0.40200010606280495,)"
0.0,"(0.5729217725375901,)"
0.0,"(0.5241284526466342,)"
0.0,"(0.5894504947605513,)"
0.0,"(0.5090169535268377,)"
0.0,"(0.5605843639670975,)"
0.0,"(0.5501994418333662,)"
0.0,"(0.46775944921232243,)"
0.0,"(0.48423910614397414,)"
0.0,"(0.568789736036817,)"
0.0,"(0.6478029565572467,)"
0.0,"(0.6071925254976699,)"
0.0,"(0.5264494714099921,)"
0.0,"(0.27161065624393116,)"
0.0,"(0.6126019387458763,)"
0.0,"(0.5811574931345848,)"
0.0,"(0.5741670841086615,)"
0.0,"(0.5225600973396013,)"
0.0,"(0.49208158837484073,)"
0.0,"(0.63424198092378,)"
0.0,"(0.629285243585386,)"
0.0,"(0.5938721704415074,)"
0.0,"(0.4310461897754549,)"
0.0,"(0.543712783552373,)"
0.0,"(0.566647192238128,)"
0.0,"(0.6084647488685658,)"
0.0,"(0.6217680840382137,)"
0.0,"(0.46370028163409055,)"
0.0,"(0.5191976266339725,)"
0.0,"(0.4241381056343933,)"
0.0,"(0.6263710568349928,)"
0.0,"(0.5264708024434038,)"
0.0,"(0.5425333587652021,)"
0.0,"(0.6315928269285936,)"
0.0,"(0.6296928538023715,)"
0.0,"(0.5353073323881883,)"
0.0,"(0.5732311025717239,)"
0.0,"(0.561149478306455,)"
0.0,"(-0.42364946088567296,)"
0.0,"(0.5854018322523541,)"
0.0,"(0.5902622135696363,)"
0.0,"(0.6311842358721058,)"
0.0,"(0.6161352580964443,)"
0.0,"(0.44814994629901783,)"
0.0,"(0.6159886478784087,)"
0.0,"(0.5837584387352374,)"
0.0,"(0.18362088698152845,)"
0.0,"(0.608555655222159,)"
0.0,"(0.6357593917857471,)"
0.0,"(0.45692765353751125,)"
0.0,"(0.5636554738852239,)"
0.0,"(0.5899709236525223,)"
0.0,"(0.38355891130446085,)"
0.0,"(0.48346041045207844,)"
0.0,"(0.45366257595342196,)"
0.0,"(0.6023640404447738,)"
0.0,"(0.4459970524162165,)"
0.0,"(0.6246506664285619,)"
0.0,"(0.5243599233122797,)"
0.0,"(0.5370052554536038,)"
0.0,"(0.6457697336177859,)"
0.0,"(0.5534552049713654,)"
0.0,"(0.4634881333651317,)"
0.0,"(0.5560089000191628,)"
0.0,"(0.6012854646592978,)"
