corruption_levels,cross_margin
0.0,"(0.24768543487377717,)"
0.0,"(-0.27125891515817147,)"
0.0,"(-0.043168666339570845,)"
0.0,"(0.2610049468204536,)"
0.0,"(0.34877065411548336,)"
0.0,"(0.27755037095650775,)"
0.0,"(0.3533548025664762,)"
0.0,"(-0.1234749593180633,)"
0.0,"(0.29422709795834223,)"
0.0,"(0.12074996841819634,)"
0.0,"(0.2762439504968772,)"
0.0,"(0.1751934595963004,)"
0.0,"(-0.24977130604385286,)"
0.0,"(0.17937356490607698,)"
0.0,"(0.18838355295729914,)"
0.0,"(0.31375945697072644,)"
0.0,"(0.21437620618078168,)"
0.0,"(-0.06099332062932979,)"
0.0,"(0.4013153984391246,)"
0.0,"(-0.0008726277511443401,)"
0.0,"(-0.25091941496128356,)"
0.0,"(0.3927570264994675,)"
0.0,"(0.2504884953349403,)"
0.0,"(0.4635663129022294,)"
0.0,"(-0.11153650771092209,)"
0.0,"(-0.012763180016706198,)"
0.0,"(0.16074431471704334,)"
0.0,"(-0.0536705797204264,)"
0.0,"(0.5013598112221278,)"
0.0,"(0.2442342999617026,)"
0.0,"(0.26177192344910516,)"
0.0,"(0.4747629957920913,)"
0.0,"(0.2628918875537635,)"
0.0,"(0.14997273538850622,)"
0.0,"(0.02073469797672626,)"
0.0,"(-0.3002792896027494,)"
0.0,"(0.4493882832218724,)"
0.0,"(0.24426151709565297,)"
0.0,"(0.31957285644611844,)"
0.0,"(-0.1850940763185425,)"
0.0,"(0.19388385011377596,)"
0.0,"(0.34871665162153415,)"
0.0,"(0.29534582248915514,)"
0.0,"(0.360020566847368,)"
0.0,"(0.2608782148214536,)"
0.0,"(0.28690540051329594,)"
0.0,"(0.2897173157940798,)"
0.0,"(0.10091470469785718,)"
0.0,"(0.5292097976518957,)"
0.0,"(-0.30347673582678963,)"
0.0,"(0.2530126738448511,)"
0.0,"(0.058208526601043274,)"
0.0,"(0.2883046370701975,)"
0.0,"(0.347297515080142,)"
0.0,"(0.3569651857610121,)"
0.0,"(0.4053081255360211,)"
0.0,"(0.263683333767875,)"
0.0,"(0.26008696075110904,)"
0.0,"(0.2626198181888467,)"
0.0,"(0.27095379150507565,)"
0.0,"(0.10313131409711128,)"
0.0,"(0.08815781285533394,)"
0.0,"(0.0944821434763061,)"
0.0,"(0.12858107096880328,)"
0.0,"(0.21935963203916425,)"
0.0,"(0.2990711906730725,)"
0.0,"(0.09791351678609472,)"
0.0,"(0.2652628723663417,)"
0.0,"(0.369773675097844,)"
0.0,"(0.3958154268517419,)"
0.0,"(0.3871620124734961,)"
0.0,"(0.19907875581513382,)"
0.0,"(0.2956484104041448,)"
0.0,"(-0.033550562635825155,)"
0.0,"(0.32542678655460244,)"
0.0,"(0.3268045551391213,)"
0.0,"(0.34393872403342257,)"
0.0,"(0.3907754509595708,)"
0.0,"(0.31550474891179864,)"
0.0,"(-0.014876679597661964,)"
0.0,"(-0.009389516474224315,)"
0.0,"(0.21939683543785127,)"
0.0,"(0.34720475282821345,)"
0.0,"(0.2509735752540716,)"
0.0,"(0.4595740573601603,)"
0.0,"(0.24809031465299283,)"
0.0,"(0.2162480602374833,)"
0.0,"(0.05472460281210094,)"
0.0,"(0.25317121692884925,)"
0.0,"(-0.14330419686405207,)"
0.0,"(0.3775909944470046,)"
0.0,"(-0.33550867900161424,)"
0.0,"(0.36701494959144415,)"
0.0,"(0.38640984001749723,)"
0.0,"(0.2864721817875912,)"
0.0,"(0.15046984504522407,)"
0.0,"(0.1629516818945949,)"
0.0,"(0.054450368483406286,)"
0.0,"(0.3234222712887987,)"
0.0,"(0.07674973126383658,)"
0.0,"(-0.05972763227612397,)"
0.0,"(0.012894633109329071,)"
0.0,"(0.22634258229167362,)"
0.0,"(0.005077187642988951,)"
0.0,"(0.23841166997625715,)"
0.0,"(-0.0065512745258675,)"
0.0,"(0.34718434443095364,)"
0.0,"(-0.019009285986020585,)"
0.0,"(0.32955314142185704,)"
0.0,"(0.48194158258290715,)"
0.0,"(-0.2274119598312887,)"
0.0,"(-0.08462941671651598,)"
0.0,"(0.23338066250725867,)"
0.0,"(0.34413152352330256,)"
0.0,"(0.47882699420046715,)"
0.0,"(0.20156477236454673,)"
0.0,"(-0.004798864819616885,)"
0.0,"(0.2628898160050373,)"
0.0,"(0.3159934612657382,)"
0.0,"(-0.26405738383801575,)"
0.0,"(0.028096731184428646,)"
0.0,"(0.30223557789557404,)"
0.0,"(-0.24292508455766648,)"
0.0,"(0.30422357389865684,)"
0.0,"(0.33955235549734136,)"
0.0,"(0.5343036093603583,)"
0.0,"(0.2262376519208872,)"
0.0,"(0.21175407686237416,)"
0.0,"(0.06308166228481414,)"
0.0,"(0.27755785184711185,)"
0.0,"(0.35520497342429297,)"
0.0,"(-0.2585583087124753,)"
0.0,"(0.32134808722408925,)"
0.0,"(0.24419115653341536,)"
0.0,"(0.20087501845277878,)"
0.0,"(0.1392262986664437,)"
0.0,"(0.33142871297972876,)"
0.0,"(0.3184506032300405,)"
0.0,"(0.34609210404892354,)"
0.0,"(-0.006047462516677198,)"
0.0,"(0.40173581150684323,)"
0.0,"(0.10952114765901828,)"
0.0,"(0.13947432006934277,)"
0.0,"(0.2440894756470138,)"
0.0,"(-0.261659974576001,)"
0.0,"(0.033643045891899655,)"
0.0,"(0.39534229273316274,)"
0.0,"(0.11320423343445427,)"
0.0,"(-0.03080635968652829,)"
0.0,"(0.28324209445067167,)"
0.0,"(0.3394661272369682,)"
0.0,"(0.3082007398993153,)"
0.0,"(0.41238670603073174,)"
0.0,"(0.4697474868106839,)"
0.0,"(0.05762754554281112,)"
0.0,"(0.4006668254048804,)"
0.0,"(0.24423430809542604,)"
0.0,"(0.25201092368859457,)"
0.0,"(0.22705471492866086,)"
0.0,"(0.2345451488387245,)"
0.0,"(-0.0026922295513976562,)"
0.0,"(0.18100402374108265,)"
0.0,"(0.2917290856618455,)"
0.0,"(0.434280424794473,)"
0.0,"(0.5133114266604847,)"
0.0,"(-0.03800382467674856,)"
0.0,"(0.3222000186250145,)"
0.0,"(0.3889165241563329,)"
0.0,"(0.3701603024869849,)"
0.0,"(0.32160644718320885,)"
