corruption_levels,cross_margin
0.0,"(0.3556114508313743,)"
0.0,"(-0.19015038151328184,)"
0.0,"(-0.037137372848476444,)"
0.0,"(-0.472656116325694,)"
0.0,"(0.19579271733008158,)"
0.0,"(0.19512429456320088,)"
0.0,"(0.249781509118283,)"
0.0,"(0.08175232092140536,)"
0.0,"(-0.11991941995879471,)"
0.0,"(0.41428285333981113,)"
0.0,"(0.23375506159712128,)"
0.0,"(0.44431946532931604,)"
0.0,"(0.3745848742980391,)"
0.0,"(0.3037256533953537,)"
0.0,"(0.027186576291854312,)"
0.0,"(0.26157951989797257,)"
0.0,"(0.25489921155103074,)"
0.0,"(0.04289029530733463,)"
0.0,"(0.25389596333085285,)"
0.0,"(0.04131378194539811,)"
0.0,"(0.2469064289942316,)"
0.0,"(0.28397657013040445,)"
0.0,"(0.44193521876883163,)"
0.0,"(0.16621731997536826,)"
0.0,"(0.08978014689666933,)"
0.0,"(0.4283222009126792,)"
0.0,"(-0.3933254250277205,)"
0.0,"(0.41779312630017745,)"
0.0,"(0.4437756785246333,)"
0.0,"(0.3325081842952895,)"
0.0,"(0.03489241692172842,)"
0.0,"(0.036424440409344234,)"
0.0,"(0.2585431783127206,)"
0.0,"(0.2790255384017326,)"
0.0,"(-0.14419096935437947,)"
0.0,"(0.26006299480698764,)"
0.0,"(0.5027328334683986,)"
0.0,"(0.2445670123978015,)"
0.0,"(-0.2727154444583378,)"
0.0,"(0.35069454845217707,)"
0.0,"(0.270298029897573,)"
0.0,"(0.2337426054709844,)"
0.0,"(-0.05304240348161047,)"
0.0,"(0.49699207583784655,)"
0.0,"(0.3097523611476996,)"
0.0,"(0.36155902015192537,)"
0.0,"(0.3285270508309715,)"
0.0,"(0.12046271814297838,)"
0.0,"(0.2444992618267381,)"
0.0,"(0.5100101525382285,)"
0.0,"(0.2808314416763418,)"
0.0,"(0.17220714284765185,)"
0.0,"(0.4522569004091263,)"
0.0,"(-0.17179835663666687,)"
0.0,"(0.32545515151584326,)"
0.0,"(0.06635750734696447,)"
0.0,"(0.3380911096388227,)"
0.0,"(0.0026284056347737916,)"
0.0,"(0.35474189635355646,)"
0.0,"(0.26570064304368063,)"
0.0,"(-0.2289681724649074,)"
0.0,"(0.4149888748598152,)"
0.0,"(0.46051922146880886,)"
0.0,"(-0.003288170749576846,)"
0.0,"(0.21188105718476188,)"
0.0,"(0.28859688211797546,)"
0.0,"(0.24802706329333798,)"
0.0,"(0.27762926835065344,)"
0.0,"(0.10629674440383777,)"
0.0,"(0.02408075833523264,)"
0.0,"(0.3727675075839049,)"
0.0,"(0.40652228425184167,)"
0.0,"(0.39629792860090224,)"
0.0,"(0.2718789978130096,)"
0.0,"(0.45317590052955226,)"
0.0,"(0.2962071491021914,)"
0.0,"(0.42517682848087135,)"
0.0,"(0.30783725906084664,)"
0.0,"(0.18485512188493775,)"
0.0,"(-0.006264482428708609,)"
0.0,"(0.38946254008389924,)"
0.0,"(0.08455139666157735,)"
0.0,"(0.0025900824724637895,)"
0.0,"(0.4083320059463915,)"
0.0,"(0.27479457812465075,)"
0.0,"(0.41397765366854256,)"
0.0,"(0.1649818423767848,)"
0.0,"(0.39376154669756414,)"
0.0,"(0.42348856578095173,)"
0.0,"(0.30601020990060224,)"
