corruption_levels,cross_margin
0.0,"(4.175707236664401,)"
0.0,"(4.173192618019846,)"
0.0,"(-4.170441329929066,)"
0.0,"(-4.170094435541124,)"
0.0,"(-4.169408969040693,)"
0.0,"(4.170530544160778,)"
0.0,"(4.174557630023595,)"
0.0,"(4.174557630023595,)"
0.0,"(4.1951861748552846,)"
0.0,"(4.199294419281082,)"
0.0,"(4.1951861748552846,)"
0.0,"(4.199294419281082,)"
0.0,"(4.171057233954639,)"
0.0,"(-4.17056338339353,)"
0.0,"(4.171436814665046,)"
0.0,"(4.170925737076232,)"
0.0,"(4.16977415998333,)"
0.0,"(4.1775270404707525,)"
0.0,"(4.171411796070088,)"
0.0,"(4.173321422381599,)"
0.0,"(4.170026333546907,)"
0.0,"(-4.171015236039898,)"
0.0,"(4.179058887048786,)"
0.0,"(-4.16980619325037,)"
0.0,"(4.1692901584804325,)"
0.0,"(4.169781670061233,)"
0.0,"(4.1692901584804325,)"
0.0,"(-4.169767402975656,)"
0.0,"(4.172429189960224,)"
0.0,"(4.168971257145432,)"
0.0,"(4.168971257145432,)"
0.0,"(4.168902510918741,)"
0.0,"(4.16985917255598,)"
0.0,"(4.169859135444885,)"
0.0,"(-4.169921590339011,)"
0.0,"(4.171353478455581,)"
0.0,"(4.1712628845489546,)"
0.0,"(4.16906979604467,)"
0.0,"(4.170463912610747,)"
0.0,"(4.171102265729967,)"
0.0,"(-4.170598989574685,)"
0.0,"(4.1737781728732735,)"
0.0,"(4.16887779913684,)"
0.0,"(4.16887779913684,)"
0.0,"(4.169813555022557,)"
0.0,"(-4.096713818413882,)"
0.0,"(4.170719652790421,)"
0.0,"(32.523612031136345,)"
0.0,"(-32.523291082782194,)"
0.0,"(32.514091809556945,)"
0.0,"(-32.53261452312458,)"
0.0,"(-32.51426183081621,)"
0.0,"(32.558372197923845,)"
0.0,"(32.53647771398901,)"
0.0,"(32.51796659775079,)"
0.0,"(32.84342029960818,)"
0.0,"(32.86578091973871,)"
0.0,"(-32.534749132704896,)"
0.0,"(32.515456279150335,)"
0.0,"(32.514666770638925,)"
0.0,"(-32.51996904382698,)"
0.0,"(-32.53341166975839,)"
0.0,"(32.525062682088524,)"
0.0,"(32.50955375209994,)"
0.0,"(-32.520513153158014,)"
0.0,"(32.516332583583726,)"
0.0,"(32.515496110687025,)"
0.0,"(-32.51841007454036,)"
0.0,"(32.51404714658628,)"
0.0,"(-32.51478010167223,)"
0.0,"(32.5174529229999,)"
0.0,"(-32.51945997730927,)"
0.0,"(-32.51064258630324,)"
0.0,"(32.568572320842925,)"
0.0,"(32.51988808271852,)"
0.0,"(32.51988808271852,)"
0.0,"(32.519185855372434,)"
0.0,"(-32.505756913375954,)"
0.0,"(32.50860882847126,)"
0.0,"(32.534846271281836,)"
0.0,"(32.50797445407342,)"
0.0,"(32.519263978632175,)"
0.0,"(32.52024420319718,)"
0.0,"(32.55024713488268,)"
0.0,"(-32.52256069709346,)"
0.0,"(-32.52431974155062,)"
0.0,"(32.52280593380943,)"
0.0,"(-32.513312152252766,)"
0.0,"(32.524125332334364,)"
0.0,"(32.51449412946458,)"
0.0,"(32.710159485714954,)"
0.0,"(32.52172482835579,)"
0.0,"(-32.51617647623528,)"
0.0,"(32.52757743477754,)"
0.0,"(32.517303767213,)"
0.0,"(32.521708035119104,)"
0.0,"(32.512215197234475,)"
0.0,"(32.532064670917705,)"
0.0,"(32.526598280489935,)"
0.0,"(-32.51329230180437,)"
0.0,"(32.522784575568096,)"
0.0,"(32.52215429081007,)"
0.0,"(32.506074699612576,)"
0.0,"(32.522986536745115,)"
0.0,"(32.52960270952242,)"
0.0,"(32.52960270952242,)"
0.0,"(32.51737213598391,)"
0.0,"(32.535033453813604,)"
0.0,"(32.52466962641704,)"
0.0,"(32.52765046566633,)"
0.0,"(32.53034936782151,)"
0.0,"(32.50928327533956,)"
0.0,"(-32.51699744129557,)"
0.0,"(-32.5156447948975,)"
0.0,"(32.51023178042785,)"
0.0,"(32.528514015206795,)"
0.0,"(32.51535730641543,)"
0.0,"(32.52617187062829,)"
0.0,"(-32.5156447948975,)"
0.0,"(32.51665642618949,)"
0.0,"(32.51023178042785,)"
0.0,"(32.53252306237427,)"
0.0,"(-32.50949363133556,)"
0.0,"(32.5241121686451,)"
0.0,"(32.513865150718885,)"
0.0,"(32.5237758962495,)"
0.0,"(-32.505823417629486,)"
0.0,"(-32.51808469205722,)"
0.0,"(-32.505823417629486,)"
0.0,"(32.513075288579344,)"
0.0,"(32.512405501441364,)"
0.0,"(32.513075288579344,)"
0.0,"(32.5307370101421,)"
0.0,"(32.51929968141478,)"
0.0,"(-32.5324529689148,)"
0.0,"(32.506721506253996,)"
0.0,"(32.52510998176886,)"
0.0,"(-32.531472064721925,)"
0.0,"(32.506721506253996,)"
0.0,"(-32.525229577460124,)"
0.0,"(-32.512762113389115,)"
0.0,"(-32.51130454084037,)"
0.0,"(-32.52014737586113,)"
0.0,"(-32.51938246524454,)"
0.0,"(-32.52014737586113,)"
0.0,"(32.521562805883,)"
0.0,"(32.521253190200234,)"
0.0,"(32.532520652089126,)"
0.0,"(32.55552234412341,)"
0.0,"(32.55683688794462,)"
0.0,"(-32.51427942397603,)"
0.0,"(32.522358938472436,)"
0.0,"(32.52088646591482,)"
0.0,"(32.538526476924275,)"
0.0,"(32.538526476924275,)"
0.0,"(-32.523026261410955,)"
0.0,"(-32.51655618618405,)"
0.0,"(32.51217052087535,)"
0.0,"(32.50600008212271,)"
0.0,"(32.517305320009214,)"
0.0,"(32.52364810452748,)"
0.0,"(32.524037325162915,)"
0.0,"(32.51217052087535,)"
0.0,"(32.52509111297199,)"
0.0,"(32.510914489959184,)"
0.0,"(-32.518664921215354,)"
0.0,"(-32.52520999993522,)"
0.0,"(-32.512126744801876,)"
0.0,"(32.53150268233004,)"
0.0,"(32.51100319102963,)"
0.0,"(32.68068865838887,)"
0.0,"(32.66948332151573,)"
0.0,"(32.68068865838887,)"
0.0,"(32.66948332151573,)"
0.0,"(32.51935761795598,)"
0.0,"(32.525894934247866,)"
0.0,"(-32.51420607945994,)"
0.0,"(32.71401172521606,)"
0.0,"(32.527728215533564,)"
0.0,"(32.51534551658098,)"
0.0,"(-32.523294321090845,)"
0.0,"(32.514521467333445,)"
0.0,"(32.544247746049955,)"
0.0,"(-32.51254095836283,)"
0.0,"(-32.51254095836283,)"
0.0,"(-32.510589174299604,)"
0.0,"(32.51143101486952,)"
0.0,"(32.51611882276396,)"
0.0,"(32.51143101486952,)"
0.0,"(-32.518870576719415,)"
0.0,"(32.524700510504026,)"
0.0,"(32.506007555340354,)"
0.0,"(32.506007555340354,)"
0.0,"(32.52918344461858,)"
0.0,"(32.51625788995447,)"
0.0,"(32.516847844386554,)"
0.0,"(-32.51605499159191,)"
0.0,"(32.53070795087307,)"
0.0,"(32.52605195110056,)"
0.0,"(32.52852757578994,)"
0.0,"(32.52718712735414,)"
0.0,"(32.510652080711765,)"
0.0,"(32.51011705047295,)"
0.0,"(32.52489329252547,)"
0.0,"(32.519206109860754,)"
0.0,"(-32.52193640345485,)"
0.0,"(32.55664944698578,)"
0.0,"(2.7536119905446315,)"
0.0,"(2.754959661765444,)"
0.0,"(2.7507658403839006,)"
0.0,"(2.7536119905446315,)"
0.0,"(2.7521278202645565,)"
0.0,"(2.750643152354055,)"
0.0,"(2.753589002403795,)"
0.0,"(2.749737674097724,)"
0.0,"(2.753589002403795,)"
0.0,"(2.694537539611584,)"
0.0,"(2.77168420024023,)"
0.0,"(2.7738777088428814,)"
0.0,"(-2.751305302945866,)"
0.0,"(2.749446471568629,)"
0.0,"(-2.7337274485431857,)"
