"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"24","142.97900063559285","137.62958945165718","0.0203857421875","0.028564453125","0.01220703125","1560","0.0016317702200170634","24","0.0016317702200170634","0","0.0016317702200170634","0.0016317702200170634","23:68;25:68","23:0.009168384238058547;25:0.028148529001317202","23:0.010649824117784201;25:0.024724972261652406","0.0203857421875","Yes"
"25","142.85764895886376","127.27293429535635","0.024169921875","0.0263671875","0.02197265625","1560","0.00020948006718504388","24","0.00020948006718504388","0","0.00020948006718504388","0.00020948006718504388","24:68;26:68;37:68","24:0.028148529001317202;26:0.0022340559046445108;37:0.002694991701158972","24:0.024724972261652406;26:0.0021854152132924076;37:0.0018833515932566713","0.024169921875","Yes"
"26","164.5240658202379","108.69629536388487","0.016845703125","0.0166015625","0.01708984375","1560","0.0002639070915355238","24","0.0002639070915355238","0","0.0002639070915355238","0.0002639070915355238","25:68;27:68","25:0.0022340559046445108;27:0.03084563040935187","25:0.0021854152132924076;27:0.0346862172736756","0.016845703125","Yes"
"27","129.31904261266936","133.92818538392333","0.025390625","0.0283203125","0.022705078125","1560","0.006884963930519931","24","0.006884963930519931","0","0.006884963930519931","0.006884963930519931","26:68;28:68;17:68","26:0.03084563040935187;17:0.026926166466685025","26:0.0346862172736756;17:0.030660895995777926","0.025390625","Yes"
"28","169.5893230098997","121.93966866525051","0.0081787109375","0.01220703125","0.004150390625","1560","0.0003784635062671622","24","0.0003784635062671622","0","0.0003784635062671622","0.0003784635062671622","27:68;29:68","29:0.004341373529625908","29:0.0034943821019396137","0.0081787109375","Yes"
"29","153.445275871352","47.848013862419336","0.02783203125","0.031005859375","0.024658203125","1560","0.00022991143046016796","24","0.00022991143046016796","0","0.00022991143046016796","0.00022991143046016796","38:68;28:68;30:68","38:0.0017838705411099554;28:0.004341373529625908;30:0.002086284356172835","38:0.0027043221490575253;28:0.0034943821019396137;30:0.002589280770009833","0.02783203125","Yes"
"30","153.2553956010178","117.44252589514367","0.0159912109375","0.017822265625","0.01416015625","1560","0.0004248557976539775","24","0.0004248557976539775","0","0.0004248557976539775","0.0004248557976539775","31:68;29:68","31:0.002545586870638855;29:0.002086284356172835","31:0.0029802881128009884;29:0.002589280770009833","0.0159912109375","Yes"
"31","132.103178551236","62.8492530363718","0.0206298828125","0.022216796875","0.01904296875","1560","0.0005459779338133857","24","0.0005459779338133857","0","0.0005459779338133857","0.0005459779338133857","30:68;32:68;18:68","30:0.002545586870638855;32:0.04483625455423762;18:0.0028138069680586353","30:0.0029802881128009884;32:0.008089822270419988;18:0.0026175217653473526","0.0206298828125","Yes"
"32","120.43898622833473","130.5156990723639","0.0262451171875","0.0302734375","0.022216796875","1560","0.00028258419575018283","24","0.00028258419575018283","0","0.00028258419575018283","0.00028258419575018283","31:68;33:68","31:0.04483625455423762","31:0.008089822270419988","0.0262451171875","Yes"
"33","107.87359076607112","145.50326320589616","0.03955078125","0.03125","0.0478515625","1560","0.0002337180058206369","24","0.0002337180058206369","0","0.0002337180058206369","0.0002337180058206369","39:68;32:68;34:68","39:0.001928397350360156;34:0.0021907330795065405","39:0.002001512297689023;34:0.0020748123000684238","0.03955078125","Yes"
"34","156.4181774586427","76.62330506372342","0.009521484375","0.012451171875","0.006591796875","1560","0.0004296823980921464","24","0.0004296823980921464","0","0.0004296823980921464","0.0004296823980921464","33:68;35:68","33:0.0021907330795065405;35:0.0022665275951284924","33:0.0020748123000684238;35:0.002599071204750919","0.009521484375","Yes"
"35","115.27484510545933","35.71683116731051","0.0194091796875","0.02099609375","0.017822265625","1560","0.00023218172283143306","24","0.00023218172283143306","0","0.00023218172283143306","0.00023218172283143306","19:68;34:68","19:0.0017763030240460498;34:0.0022665275951284924","19:0.0018486779416151122;34:0.002599071204750919","0.0194091796875","Yes"
